	id	ast	blk	dreb	fg3_pct	pts	reb	stl	turnover	game_season	player_id	player_first_name	player_height_feet	player_last_name	player_position	player_team_id	team_id	team_full_name
0	9461757	0	0	4	0.0	6	5	1	0	2021	173	Taj	6.0	Gibson	F	20	20	New York Knicks
1	9461758	6	1	1	20.0	7	1	1	2	2021	17895858	Quentin		Grimes	G	20	20	New York Knicks
2	9461763	0	0	2	0.0	6	3	0	0	2021	3547243	Obi		Toppin	F	20	20	New York Knicks
3	9461759	0	0	0	0.0	0	0	0	1	2021	259	Kevin	6.0	Knox	F	20	20	New York Knicks
4	9462092	2	0	2	40.0	10	2	3	0	2021	666923	Matisse		Thybulle	G-F	23	23	Philadelphia 76ers
5	9462093	4	2	4	20.0	13	4	1	2	2021	200	Tobias	6.0	Harris	F	23	23	Philadelphia 76ers
6	9462094	6	2	4	0.0	31	8	1	2	2021	145	Joel	7.0	Embiid	F-C	23	23	Philadelphia 76ers
7	9462095	0	1	3	25.0	5	4	1	0	2021	184	Danny	6.0	Green	G-F	23	23	Philadelphia 76ers
8	9462096	2	0	5	50.0	12	6	1	2	2021	260	Furkan	6.0	Korkmaz	G-F	23	23	Philadelphia 76ers
9	9462104	2	0	3	0.0	6	4	1	3	2021	10384980	Myles		Powell	G	23	23	Philadelphia 76ers
10	9462103	1	0	0	40.0	8	0	1	1	2021	344	Georges	6.0	Niang	F	23	23	Philadelphia 76ers
11	9462101	3	0	2	33.3	10	3	0	0	2021	3547272	Isaiah		Joe	G	23	23	Philadelphia 76ers
12	9462099	3	1	6	0.0	13	10	1	1	2021	137	Andre	6.0	Drummond	C	23	23	Philadelphia 76ers
13	9462098	0	0	4	0.0	1	4	2	1	2021	666474	Charles		Brown	G	23	23	Philadelphia 76ers
14	9461751	0	0	1	100.0	7	1	0	0	2021	17896064	Joe		Wieskamp	G-F	27	27	San Antonio Spurs
15	9461750	1	0	0	0.0	1	0	0	1	2021	327	Jaylen	6.0	Morris	G	27	27	San Antonio Spurs
16	9461749	1	0	0	0.0	0	0	0	0	2021	7155648	Anthony		Lamb	F	27	27	San Antonio Spurs
17	9461760	0	0	1	0.0	0	1	0	0	2021	17896033	Miles		McBride	G	20	20	New York Knicks
18	9461762	0	1	0	0.0	0	0	0	0	2021	17896063	Jericho		Sims	F	20	20	New York Knicks
19	9462097	0	1	0	0.0	0	1	1	0	2021	17895854	Charles		Bassey	G	23	23	Philadelphia 76ers
20	9462102	0	0	0	0.0	2	1	1	2	2021	17896007	Braxton		Key	G	23	23	Philadelphia 76ers
21	9462100	0	0	0	0.0	0	0	0	0	2021	17896053	Aaron		Henry	G	23	23	Philadelphia 76ers
22	9462105	1	2	1	33.3	9	1	0	0	2021	3547301	Jae'Sean		Tate	F	11	11	Houston Rockets
23	9462106	2	0	6	20.0	14	6	1	0	2021	486	Christian	6.0	Wood	F	11	11	Houston Rockets
24	9462107	1	1	3	60.0	12	4	2	1	2021	439	Daniel	6.0	Theis	F	11	11	Houston Rockets
25	9462108	5	0	6	0.0	8	6	0	4	2021	666849	Kevin		Porter Jr.	G	11	11	Houston Rockets
26	9461028	1	0	2	25.0	3	2	0	1	2021	666762	Jalen		McDaniels	F	4	4	Charlotte Hornets
27	9461023	0	0	0	0.0	0	0	0	0	2021	17896037	James		Bouknight	G	4	4	Charlotte Hornets
28	9461024	0	0	0	0.0	0	0	0	0	2021	17896032	Kai		Jones	F-C	4	4	Charlotte Hornets
